Mexico,"Justin Bieber",1246743,Canada
Mexico,Adele,1064520,United Kingdom
Mexico,"Justin Bieber",998319,Canada
Mexico,Drake,927104,Canada
Mexico,"Major Lazer",831630,Jamaica
Mexico,"J Balvin",740564,Colombia
Mexico,"The Weeknd",726389,Canada
Mexico,"Justin Bieber",702529,Canada
Mexico,"Calvin Harris",643335,United Kingdom
Mexico,"Ariana Grande",635680,United States
Mexico,"Justin Bieber",631167,Canada
Mexico,"R. City",597382,United States
Mexico,Maluma,589527,Colombia
Mexico,"Shawn Mendes",579442,Canada
Mexico,Coldplay,572686,United Kingdom
Mexico,"Jack Ü",543717,United States
Mexico,"Ed Sheeran",530674,United Kingdom
Mexico,"Nicky Jam",516830,Puerto Rico
Mexico,"Selena Gomez",513852,United States
Mexico,"Felix Jaehn",503942,Other
Mexico,"Ellie Goulding",499694,United Kingdom
Mexico,OMI,493360,Jamaica
Mexico,"Robin Schulz",489757,Germany
Mexico,"Gente De Zona",489627,Cuba
Mexico,"Jesse & Joy",488981,Mexico
Mexico,"Major Lazer",475767,Jamaica
Mexico,Galantis,449957,Sweden
Mexico,Maluma,436794,Colombia
Mexico,"Banda Sinaloense MS de Sergio Lizárraga",431332,Mexico
Mexico,Kygo,425539,Norway
Mexico,"Selena Gomez",425471,United States
Mexico,"Maroon 5",419218,United States
Mexico,"Ricky Martin",419105,Puerto Rico
Mexico,"One Direction",402253,United Kingdom
Mexico,"Jason Derulo",395259,United States
Mexico,"The Weeknd",393727,Canada
Mexico,"Banda Sinaloense MS de Sergio Lizárraga",392481,Mexico
Mexico,"One Direction",390639,United Kingdom
Mexico,"Mark Ronson",385390,United Kingdom
Mexico,"Justin Bieber",380717,Canada
Mexico,"Ed Sheeran",374513,United Kingdom
Mexico,"Julión Álvarez y su Norteño Banda",371976,Mexico
Mexico,"Charlie Puth",371113,United States
Mexico,"La Arrolladora Banda El Limón De Rene Camacho",350608,Mexico
Mexico,"J Balvin",340920,Colombia
Mexico,Yandel,338486,Puerto Rico
Mexico,"Río Roma",332757,Mexico
Mexico,Avicii,330265,Sweden
Mexico,Deorro,317800,United States
Mexico,"Ariel Camacho y Los Plebes Del Rancho",310720,Other
Brazil,"Justin Bieber",1070592,Canada
Brazil,Adele,810287,United Kingdom
Brazil,"Justin Bieber",783610,Canada
Brazil,Drake,716111,Canada
Brazil,"Major Lazer",639497,Jamaica
Brazil,Anitta,596732,Brazil
Brazil,"Marcos & Belutti",584061,Brazil
Brazil,"Justin Bieber",577121,Canada
Brazil,"Calvin Harris",557481,United Kingdom
Brazil,"The Weeknd",521571,Canada
Brazil,"Jack Ü",476583,United States
Brazil,"Jorge & Mateus",457460,Brazil
Brazil,"The Weeknd",414426,Canada
Brazil,"One Direction",401225,United Kingdom
Brazil,"Ed Sheeran",400345,United Kingdom
Brazil,"Ariana Grande",393424,United States
Brazil,"Justin Bieber",387823,Canada
Brazil,"Matheus & Kauan",383941,Other
Brazil,"Robin Schulz",370243,Germany
Brazil,"Shawn Mendes",368237,Canada
Brazil,OMI,367676,Jamaica
Brazil,"Selena Gomez",350654,United States
Brazil,Rihanna,349998,Barbados
Brazil,"Maroon 5",339323,United States
Brazil,"Ellie Goulding",337857,United Kingdom
Brazil,Avicii,327387,Sweden
Brazil,"Demi Lovato",324742,United States
Brazil,"Ed Sheeran",322500,United Kingdom
Brazil,"Demi Lovato",320668,United States
Brazil,"Fifth Harmony",308804,United States
Brazil,"Henrique & Juliano",305748,Brazil
Brazil,Silentó,304629,United States
Brazil,"Henrique & Diego",300531,Other
Brazil,"Jorge & Mateus",297534,Brazil
Brazil,"Wesley Safadão",294621,Brazil
Brazil,Coldplay,292495,United Kingdom
Brazil,"Jason Derulo",292336,United States
Brazil,"Henrique & Juliano",287576,Brazil
Brazil,"One Direction",286354,United Kingdom
Brazil,"Selena Gomez",285344,United States
Brazil,"Felix Jaehn",281858,Other
Brazil,"David Guetta",279373,France
Brazil,Rudimental,275264,United Kingdom
Brazil,"R. City",261229,United States
Brazil,"Alessia Cara",258543,Other
Brazil,Loubet,254132,Other
Brazil,"Jessie J",249387,United Kingdom
Brazil,Anitta,247076,Brazil
Brazil,"Fetty Wap",246442,United States
Brazil,"Justin Bieber",240039,Canada
Germany,Adele,1672735,United Kingdom
Germany,"Justin Bieber",1367988,Canada
Germany,"Justin Bieber",1328032,Canada
Germany,"Zara Larsson",1220577,Sweden
Germany,"Lukas Graham",1027573,Denmark
Germany,"Major Lazer",972178,Jamaica
Germany,"Shawn Mendes",898580,Canada
Germany,"Justin Bieber",887963,Canada
Germany,Drake,885088,Canada
Germany,"Robin Schulz",830216,Germany
Germany,Glasperlenspiel,814790,Germany
Germany,"Matt Simons",800513,United States
Germany,AnnenMayKantereit,763979,Other
Germany,"The Weeknd",718308,Canada
Germany,Sido,716565,Germany
Germany,"Calvin Harris",697804,United Kingdom
